,time,u0,u10000,u20000,u30000,u40000,u50000,u60000,u70000,u80000,u90000,u100000
57,2016-02-26 09:00:00,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75
58,2016-02-26 12:00:00,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921
59,2016-02-26 15:00:00,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537,-2.40000009537
60,2016-02-26 18:00:00,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444,-3.63000011444
61,2016-02-26 21:00:00,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741,-4.40999984741
62,2016-02-27 00:00:00,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093,-5.26999998093
63,2016-02-27 03:00:00,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981,-5.03000020981
64,2016-02-27 06:00:00,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861,-2.72000002861
65,2016-02-27 09:00:00,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951,-2.3599998951
66,2016-02-27 12:00:00,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139,-1.77999997139
67,2016-02-27 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2016-02-27 18:00:00,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768,2.95000004768
69,2016-02-27 21:00:00,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556,6.86999988556
70,2016-02-28 00:00:00,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649,5.38999986649
71,2016-02-28 03:00:00,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444,6.38000011444
72,2016-02-28 06:00:00,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
73,2016-02-28 09:00:00,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444,3.13000011444
74,2016-02-28 12:00:00,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371,4.82999992371
75,2016-02-28 15:00:00,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537,4.65000009537
